 Pdf No.,Links,Name of Ageement,Economies,Year entered into force,Competent authorities,Level of Recognition,Agreement text,PDF Link,Updated,Occupations
180,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135709b0b830400205e8456?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Australian Institute of Quantity Surveyors and Canadian Institute of Quantity Surveyors,"Australia, Canada",2017,"Australian Institute of Quantity Surveyors; Application details, Canadian Institute of Quantity Surveyors; Application details",Automatic,Available,https://www.aiqs.com.au/sites/default/files/uploaded-content/website-content/mra_-_ciqs.pdf,09/06/2021,Surveyors
181,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df6f94cd10d18ff2c5b?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between Australian Institute of Quantity Surveyors and The Hong Kong Institute of Surveyors,"Australia, Hong Kong, China",2018,"Australian Institute of Quantity Surveyors (AIQS); Application details, The Hong Kong Institute of Surveyors (HKIS); Application details",Partial,Available here,https://www.hkis.org.hk/en/pdf/aboutus/The_Australian_Institute_of_Quantity_Surveyors.pdf,06/09/2021,Surveyors
182,https://aasc.knack.com/mra-inventory#home/view-mra-details2/613573670b830400205e8648?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Australian Institute of Quantity Surveyors and Institute of Quantity Surveyors Sri Lanka,"Australia, Sri Lanka",2017,"Australian Institute of Quantity Surveyors; Application details, Institute of Quantity Surveyors Sri Lanka",Partial,Available,https://www.aiqs.com.au/sites/default/files/uploaded-content/website-content/mra_iqssl.pdf,09/06/2021,Surveyors
183,https://aasc.knack.com/mra-inventory#home/view-mra-details2/613575370b830400205e878e?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement Australian Institute of Quantity Surveyors and Singapore Institute of Surveyors and Valuers ,"Australia, Singapore",2018,"Australian Institute of Quantity Surveyors; Application details, Singapore Institute of Surveyors and Valuers",Partial,Available,https://www.aiqs.com.au/sites/default/files/uploaded-content/website-content/mra_-_sisv.pdf,09/06/2021,Surveyors
184,https://aasc.knack.com/mra-inventory#home/view-mra-details2/60521df7f94cd10d18ff2c5d?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement betwen The Hong Kong Institute of Surveyors and the Canadian Institute of Quantity Surveyors ,"Canada, Hong Kong, China",2017,"Hong Kong Institute of Surveyors (HKIS); Application details, Canadian Institute of Quantity Surveyors (CIQS); Application details",Partial,Available,https://www.hkis.org.hk/en/pdf/aboutus/Canadian_Institute_of_Quantity_Surveyors-201707.pdf,09/06/2021,Surveyors
185,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135adc4e3b525001e09a46e?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement Between the Nigerian Institute of Quantity Surveyors and the Canadian Institute of Quantity Surveyors,"Canada, Nigeria",2019,"Canadian Institute of Quantity Surveyors; Application details , Nigerian Institute of Quantity Surveyors",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/NIQS_Reciprocity_Agreement_Aug19.pdf,09/06/2021,Surveyors
186,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135ad299afb46002013e01e?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement Between the Jamaican Institute of Quantity Surveyors and the Canadian Institute of Quantity Surveyors,"Canada, Jamaica",2019,"Canadian Institute of Quantity Surveyors; Application details, Jamaican Institute of Quantity Surveyors",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/JIQS_Reciprocity_Agreement_Oct19.pdf,09/06/2021,Surveyors
187,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135af809afb46002013e1f6?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity and Co-operation Agreement Between the Royal Institution of Surveyors Malaysia and Canadian Institute of Quantity Surveyors,"Canada, Malaysia",2017,"Canadian Institute of Quantity Surveyors; Application details , The Royal Institution of Surveyors Malaysia",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/RISM_Reciprocity_Agreement_23Jul17.pdf,09/06/2021,Surveyors
188,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135ac64ae5d64001f866973?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement Between the Building Surveyors Institute of Japan and the Canadian Institute of Quantity Surveyors,"Canada, Japan",2008,"Building Surveyors Institute of Japan, Canadian Institute of Quantity Surveyors; Application details",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/Building-Surveyors-Institute-of-Japan-1.pdf,09/06/2021,Surveyors
189,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135ab79ae5d64001f86681f?ref=view_12_page%3D1%26view_12_per_page%3D500,Cooperation Agreement Entered Into By and Between the Association of South African Quantity Surveyors and the Canadian Institute of Quantity Surveyors,"Canada, South Africa",2017,"Canadian Institute of Quantity Surveyors; Application details, Association of South African Quantity Surveyors",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/ASAQS_Reciprocity_Agreement_23Jul17.pdf,09/06/2021,Surveyors
190,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135b464e3b525001e09aae1?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement Between the Singapore Institute of Surveyors and Valuers and the Canadian Institute of Quantity Surveyors,"Canada, Singapore",2017,"Canadian Institute of Quantity Surveyors; Application details , Singapore Institute of Surveyors and Valuers",Partial,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/SISV_Reciprocity_Agreement_23Jul17.pdf,09/06/2021,Surveyors
191,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6135ae640b830400205eb624?ref=view_12_page%3D1%26view_12_per_page%3D500,Reciprocity Agreement Between the New Zealand Institute of Quantity Surveyors and the Canadian Institute of Quantity Surveyors,"Canada, New Zealand",2017,"Canadian Institute of Quantity Surveyors; Application details, New Zealand Institute of Quantity Surveyors",Automatic,Available,https://ciqs.org/common/Uploaded%20files/Reciprocity%20Agreements/NZIQS_Reciprocity_Agreement_23Jul17.pdf,09/06/2021,Surveyors
192,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49bef0?ref=view_12_page%3D1%26view_12_per_page%3D500,Mutual Recognition Agreement between Australasian Veterinary Boards Council and South African Veterinary Council,"South Africa, Australia, New Zealand",2013,"Australasian Veterinary Boards Council (AVBC); Application details, South African Veterinary Council (SAVC); Application details",Automatic,Available,https://savc.org.za/wp-content/uploads/2021/07/2021_F_VETS_Info_on_SAVC_Exam_FINAL.pdf,06/08/2021,Veterinarians
193,https://aasc.knack.com/mra-inventory#home/view-mra-details2/6011a6867c4fee067a49beed?ref=view_12_page%3D1%26view_12_per_page%3D500],Agreement between Royal College of Veterinary Surgeons and Australasian Veterinary Boards Council,"Australia, United Kingdom, New Zealand",2000,"Australasian Veterinary Boards Council (AVBC); Application details, Royal College of Veterinary Surgeons (RVCS); Application details",,Available,https://avbc.asn.au/wp-content/uploads/2020/12/AVBC-Accreditation-Standards.pdf,06/08/2021,Veterinarians
